Time, Value0, Value 1, X, Y,
1460438486.9620, 36.1620, 4.7700, -0.1976, 0.9803, 
1460438486.9830, 36.1365, 5.1205, -0.2181, 0.9759, 
1460438487.0010, 36.1157, 5.4261, -0.2356, 0.9718, 
1460438487.0200, 36.0946, 5.7536, -0.2541, 0.9672, 
1460438487.0380, 36.0750, 6.0685, -0.2714, 0.9625, 
1460438487.0560, 36.0556, 6.3878, -0.2887, 0.9574, 
1460438487.0750, 36.0347, 6.7293, -0.3068, 0.9518, 
1460438487.0930, 36.0141, 7.0571, -0.3239, 0.9461, 
1460438487.1120, 35.9908, 7.4075, -0.3418, 0.9398, 
1460438487.1310, 35.9652, 7.7622, -0.3596, 0.9331, 
1460438487.1500, 35.9368, 8.1210, -0.3773, 0.9261, 
1460438487.1690, 35.9045, 8.4838, -0.3948, 0.9188, 
1460438487.1880, 35.8678, 8.8505, -0.4122, 0.9111, 
1460438487.2080, 35.8233, 9.2405, -0.4303, 0.9027, 
1460438487.2280, 35.7719, 9.6345, -0.4483, 0.8939, 
1460438487.2490, 35.7094, 10.0524, -0.4670, 0.8843, 
1460438487.2700, 35.6371, 10.4742, -0.4854, 0.8743, 
1460438487.2890, 35.5624, 10.8592, -0.5020, 0.8649, 
1460438487.3080, 35.4779, 11.2472, -0.5183, 0.8552, 
1460438487.3270, 35.3829, 11.6381, -0.5345, 0.8452, 
1460438487.3460, 35.2768, 12.0316, -0.5504, 0.8349, 
1460438487.3670, 35.1457, 12.4696, -0.5678, 0.8231, 
1460438487.3860, 35.0141, 12.8684, -0.5834, 0.8122, 
1460438487.4050, 34.8694, 13.2695, -0.5987, 0.8010, 
1460438487.4240, 34.7113, 13.6727, -0.6138, 0.7895, 
1460438487.4420, 34.5489, 14.0565, -0.6279, 0.7783, 
1460438487.4610, 34.3637, 14.4634, -0.6426, 0.7662, 
1460438487.4810, 34.1533, 14.8936, -0.6578, 0.7532, 
1460438487.5010, 33.9271, 15.3254, -0.6727, 0.7399, 
1460438487.5200, 33.6975, 15.7371, -0.6866, 0.7270, 
1460438487.5390, 33.4537, 16.1499, -0.7003, 0.7138, 
1460438487.5580, 33.1960, 16.5638, -0.7138, 0.7004, 
1460438487.5770, 32.9248, 16.9786, -0.7269, 0.6867, 
1460438487.5960, 32.6404, 17.3942, -0.7399, 0.6728, 
1460438487.6160, 32.3277, 17.8322, -0.7532, 0.6578, 
1460438487.6350, 32.0187, 18.2488, -0.7655, 0.6434, 
1460438487.6530, 31.7161, 18.6436, -0.7770, 0.6295, 
1460438487.6730, 31.3696, 19.0825, -0.7894, 0.6138, 
1460438487.6920, 31.0318, 19.4993, -0.8009, 0.5987, 
1460438487.7110, 30.6869, 19.9158, -0.8122, 0.5834, 
