Column1, Column2,
1.45992e+009, 17.4783, 5.15685
1.45992e+009, 16.9308, 4.99601
1.45992e+009, 16.4664, 4.86304
1.45992e+009, 15.9169, 4.70966
1.45992e+009, 15.4098, 4.57176
1.45992e+009, 14.9035, 4.43745
1.45992e+009, 14.3571, 4.29605
1.45992e+009, 13.8554, 4.16939
1.45992e+009, 13.3571, 4.04648
1.45992e+009, 12.8633, 3.92737
1.45992e+009, 12.3748, 3.81213
1.45992e+009, 11.813, 3.68263
1.45992e+009, 11.3395, 3.57593
1.45992e+009, 10.8746, 3.47326
1.45992e+009, 10.3818, 3.36664
1.45992e+009, 9.93809, 3.27251
1.45992e+009, 9.54181, 3.1899
1.45992e+009, 9.08755, 3.09685
1.45992e+009, 8.68294, 3.01541
1.45992e+009, 8.29358, 2.93828
1.45992e+009, 7.92062, 2.86552
1.45992e+009, 7.56517, 2.79716
1.45992e+009, 7.2283, 2.73324
1.45992e+009, 6.91112, 2.67381
1.45992e+009, 6.61467, 2.61891
1.45992e+009, 6.31807, 2.56457
1.45992e+009, 6.08793, 2.52281
1.45992e+009, 5.85954, 2.48168
1.45992e+009, 5.60858, 2.43681
1.45992e+009, 5.41023, 2.40154
1.45992e+009, 5.24766, 2.37268
1.45992e+009, 5.13752, 2.35309
1.45992e+009, 5.05487, 2.33825
1.45992e+009, 5.00012, 2.32817
1.45992e+009, 4.97357, 2.32288
1.45992e+009, 4.97543, 2.32239
1.45992e+009, 5.00576, 2.32668
1.45992e+009, 5.07069, 2.33676
1.45992e+009, 5.16005, 2.35105
1.45992e+009, 5.27735, 2.37013
1.45992e+009, 5.40904, 2.39182
1.45992e+009, 5.59385, 2.42262
1.45992e+009, 5.79177, 2.456
1.45992e+009, 6.03479, 2.49749
1.45992e+009, 6.28447, 2.54069
1.45992e+009, 6.55732, 2.58855
1.45992e+009, 6.85213, 2.64104
1.45992e+009, 7.1675, 2.69813
1.45992e+009, 7.50194, 2.75975
1.45992e+009, 7.8239, 2.8202
1.45992e+009, 8.2528, 2.90253
1.45992e+009, 8.70045, 2.99082
1.45992e+009, 9.09676, 3.07116
1.45992e+009, 9.46849, 3.14852
1.45992e+009, 9.88127, 3.2369
1.45992e+009, 10.2645, 3.3215
1.45992e+009, 10.7212, 3.42581
