Time, Value0, Value 1, X, Y,
1460493708.8090, 2.1896, 7.0088, 1.3604, 0.3042, 
1460493708.8250, 2.1472, 7.5004, 1.3712, 0.3236, 
1460493708.8390, 2.1217, 7.9319, 1.3804, 0.3411, 
1460493708.8530, 2.1071, 8.3642, 1.3895, 0.3592, 
1460493708.8660, 2.1034, 8.7659, 1.3977, 0.3764, 
1460493708.8800, 2.1101, 9.1985, 1.4062, 0.3955, 
1460493708.8930, 2.1262, 9.5998, 1.4140, 0.4136, 
1460493708.9060, 2.1520, 10.0002, 1.4215, 0.4322, 
1460493708.9200, 2.1905, 10.4303, 1.4293, 0.4527, 
1460493708.9340, 2.2400, 10.8586, 1.4368, 0.4737, 
1460493708.9480, 2.3007, 11.2847, 1.4439, 0.4952, 
1460493708.9610, 2.3668, 11.6782, 1.4502, 0.5156, 
1460493708.9760, 2.4548, 12.1291, 1.4572, 0.5397, 
1460493708.9900, 2.5481, 12.5466, 1.4632, 0.5626, 
1460493709.0050, 2.6598, 12.9898, 1.4693, 0.5877, 
1460493709.0190, 2.7750, 13.3993, 1.4745, 0.6116, 
1460493709.0340, 2.9099, 13.8332, 1.4796, 0.6377, 
1460493709.0510, 3.0769, 14.3185, 1.4847, 0.6679, 
1460493709.0650, 3.2255, 14.7125, 1.4885, 0.6933, 
1460493709.0780, 3.3722, 15.0737, 1.4915, 0.7172, 
1460493709.0910, 3.5271, 15.4300, 1.4941, 0.7414, 
1460493709.1050, 3.7030, 15.8082, 1.4963, 0.7679, 
1460493709.1190, 3.8880, 16.1804, 1.4981, 0.7948, 
1460493709.1350, 4.1105, 16.5981, 1.4994, 0.8260, 
1460493709.1500, 4.3294, 16.9821, 1.5000, 0.8557, 
1460493709.1640, 4.5426, 17.3337, 1.4999, 0.8837, 
1460493709.1770, 4.7481, 17.6541, 1.4993, 0.9100, 
1460493709.1910, 4.9772, 17.9926, 1.4980, 0.9387, 
1460493709.2040, 5.1972, 18.3006, 1.4963, 0.9656, 
1460493709.2180, 5.4416, 18.6256, 1.4939, 0.9948, 
1460493709.2330, 5.7121, 18.9658, 1.4905, 1.0265, 
1460493709.2470, 5.9724, 19.2760, 1.4867, 1.0562, 
1460493709.2600, 6.2207, 19.5575, 1.4826, 1.0841, 
1460493709.2730, 6.4754, 19.8329, 1.4778, 1.1122, 
1460493709.2870, 6.7568, 20.1225, 1.4721, 1.1426, 
1460493709.3000, 7.0245, 20.3850, 1.4661, 1.1710, 
1460493709.3190, 7.4270, 20.7575, 1.4562, 1.2129, 
1460493709.3370, 7.8205, 21.0985, 1.4457, 1.2527, 
1460493709.3510, 8.1348, 21.3557, 1.4366, 1.2839, 
1460493709.3650, 8.4565, 21.6061, 1.4268, 1.3151, 
1460493709.3780, 8.7617, 21.8326, 1.4170, 1.3442, 
1460493709.3910, 9.0734, 22.0533, 1.4065, 1.3734, 
1460493709.4050, 9.4165, 22.2847, 1.3946, 1.4049, 
1460493709.4180, 9.7419, 22.4939, 1.3827, 1.4341, 
1460493709.4320, 10.1001, 22.7133, 1.3692, 1.4656, 
1460493709.4470, 10.4929, 22.9416, 1.3539, 1.4993, 
1460493709.4610, 10.8682, 23.1486, 1.3388, 1.5308, 
1460493709.4750, 11.2522, 23.3499, 1.3229, 1.5622, 
1460493709.4880, 11.6168, 23.5320, 1.3074, 1.5913, 
1460493709.5020, 12.0185, 23.7230, 1.2899, 1.6226, 
1460493709.5150, 12.4000, 23.8958, 1.2729, 1.6515, 
1460493709.5300, 12.8509, 24.0900, 1.2525, 1.6847, 
1460493709.5440, 13.2825, 24.2665, 1.2327, 1.7155, 
1460493709.5570, 13.6929, 24.4265, 1.2135, 1.7440, 
1460493709.5720, 14.1784, 24.6065, 1.1905, 1.7766, 
1460493709.5870, 14.6772, 24.7821, 1.1665, 1.8090, 
1460493709.6020, 15.1898, 24.9535, 1.1417, 1.8411, 
1460493709.6160, 15.6812, 25.1098, 1.1176, 1.8708, 
1460493709.6320, 16.2587, 25.2847, 1.0892, 1.9044, 
1460493709.6460, 16.7783, 25.4345, 1.0634, 1.9334, 
1460493709.6600, 17.3117, 25.5816, 1.0369, 1.9621, 
1460493709.6740, 17.8594, 25.7263, 1.0095, 1.9904, 
1460493709.6870, 18.3809, 25.8587, 0.9835, 2.0163, 
1460493709.7010, 18.9569, 25.9993, 0.9546, 2.0439, 
1460493709.7140, 19.5053, 26.1282, 0.9271, 2.0691, 
1460493709.7290, 20.1546, 26.2753, 0.8946, 2.0977, 
1460493709.7420, 20.7317, 26.4015, 0.8657, 2.1221, 
1460493709.7560, 21.3684, 26.5363, 0.8338, 2.1478, 
1460493709.7710, 22.0682, 26.6796, 0.7989, 2.1749, 
1460493709.7840, 22.6893, 26.8032, 0.7679, 2.1978, 
1460493709.7970, 23.3239, 26.9262, 0.7363, 2.2203, 
1460493709.8110, 24.0224, 27.0584, 0.7016, 2.2439, 
1460493709.8260, 24.7878, 27.1997, 0.6636, 2.2685, 
1460493709.8400, 25.5176, 27.3315, 0.6275, 2.2909, 
1460493709.8550, 26.3155, 27.4730, 0.5880, 2.3142, 
1460493709.8690, 27.0745, 27.6053, 0.5504, 2.3352, 
1460493709.8840, 27.9023, 27.7475, 0.5094, 2.3570, 
1460493709.8980, 28.6874, 27.8809, 0.4705, 2.3766, 
1460493709.9120, 29.4837, 28.0149, 0.4310, 2.3955, 
1460493709.9280, 30.4060, 28.1692, 0.3851, 2.4162, 
1460493709.9420, 31.2222, 28.3053, 0.3443, 2.4336, 
1460493709.9570, 32.1046, 28.4522, 0.2999, 2.4512, 
1460493709.9700, 32.8745, 28.5807, 0.2609, 2.4658, 
1460493709.9840, 33.7073, 28.7203, 0.2184, 2.4808, 
1460493709.9990, 34.6018, 28.8714, 0.1723, 2.4959, 
1460493710.0130, 35.4366, 29.0138, 0.1288, 2.5091, 
1460493710.0280, 36.3285, 29.1682, 0.0816, 2.5223, 
1460493710.0430, 37.2151, 29.3243, 0.0338, 2.5345, 
1460493710.0570, 38.0354, 29.4717, -0.0112, 2.5450, 
1460493710.0710, 38.8461, 29.6207, -0.0566, 2.5545, 
1460493710.0860, 39.7013, 29.7823, -0.1058, 2.5638, 
1460493710.1000, 40.4842, 29.9349, -0.1520, 2.5714, 
1460493710.1150, 41.3037, 30.1003, -0.2020, 2.5786, 
1460493710.1310, 42.1520, 30.2790, -0.2557, 2.5850, 
1460493710.1460, 42.9196, 30.4486, -0.3065, 2.5899, 
1460493710.1610, 43.6572, 30.6203, -0.3576, 2.5937, 
1460493710.1760, 44.3614, 30.7940, -0.4089, 2.5963, 
1460493710.1910, 45.0292, 30.9697, -0.4606, 2.5977, 
1460493710.2060, 45.6574, 31.1474, -0.5125, 2.5980, 
1460493710.2190, 46.1677, 31.3029, -0.5577, 2.5974, 
1460493710.2340, 46.7145, 31.4843, -0.6099, 2.5955, 
1460493710.2480, 47.1822, 31.6552, -0.6589, 2.5926, 
1460493710.2630, 47.6354, 31.8401, -0.7115, 2.5884, 
1460493710.2770, 48.0119, 32.0144, -0.7606, 2.5834, 
1460493710.2910, 48.3419, 32.1901, -0.8098, 2.5774, 
1460493710.3050, 48.6243, 32.3674, -0.8591, 2.5703, 
1460493710.3300, 49.0072, 32.6874, -0.9471, 2.5549, 
1460493710.3430, 49.1439, 32.8554, -0.9928, 2.5456, 
1460493710.3580, 49.2482, 33.0507, -1.0456, 2.5337, 
1460493710.3710, 49.2923, 33.2211, -1.0912, 2.5224, 
1460493710.3850, 49.2921, 33.4056, -1.1402, 2.5091, 
1460493710.3990, 49.2433, 33.5913, -1.1891, 2.4949, 
1460493710.4120, 49.1551, 33.7645, -1.2343, 2.4806, 
1460493710.4260, 49.0152, 33.9520, -1.2829, 2.4643, 
1460493710.4400, 48.8303, 34.1404, -1.3312, 2.4468, 
1460493710.4540, 48.6022, 34.3295, -1.3793, 2.4283, 
1460493710.4680, 48.3329, 34.5194, -1.4272, 2.4088, 
1460493710.4810, 48.0481, 34.6962, -1.4714, 2.3897, 
1460493710.4950, 47.7064, 34.8872, -1.5187, 2.3681, 
1460493710.5080, 47.3589, 35.0650, -1.5623, 2.3471, 
1460493710.5220, 46.9551, 35.2569, -1.6089, 2.3235, 
1460493710.5360, 46.5235, 35.4491, -1.6551, 2.2988, 
1460493710.5510, 46.0342, 35.6553, -1.7042, 2.2712, 
1460493710.5640, 45.5906, 35.8342, -1.7464, 2.2464, 
1460493710.5780, 45.0962, 36.0269, -1.7913, 2.2187, 
1460493710.5910, 44.6244, 36.2059, -1.8326, 2.1920, 
1460493710.6050, 44.1063, 36.3986, -1.8766, 2.1624, 
1460493710.6180, 43.6187, 36.5774, -1.9170, 2.1339, 
1460493710.6340, 43.0145, 36.7972, -1.9660, 2.0978, 
1460493710.6480, 42.4859, 36.9892, -2.0083, 2.0651, 
1460493710.6610, 41.9983, 37.1671, -2.0470, 2.0339, 
1460493710.6740, 41.5165, 37.3447, -2.0851, 2.0019, 
1460493710.6880, 41.0071, 37.5354, -2.1256, 1.9666, 
1460493710.7030, 40.4754, 37.7391, -2.1683, 1.9277, 
1460493710.7180, 39.9619, 37.9419, -2.2101, 1.8877, 
1460493710.7330, 39.4697, 38.1439, -2.2511, 1.8468, 
1460493710.7490, 38.9715, 38.3583, -2.2939, 1.8020, 
1460493710.7650, 38.5042, 38.5715, -2.3357, 1.7561, 
1460493710.7780, 38.1491, 38.7438, -2.3689, 1.7180, 
1460493710.7920, 37.7931, 38.9282, -2.4039, 1.6763, 
1460493710.8060, 37.4657, 39.1116, -2.4380, 1.6337, 
1460493710.8190, 37.1884, 39.2807, -2.4690, 1.5934, 
1460493710.8360, 36.8656, 39.5002, -2.5083, 1.5398, 
1460493710.8510, 36.6190, 39.6922, -2.5419, 1.4916, 
1460493710.8640, 36.4347, 39.8573, -2.5702, 1.4492, 
1460493710.8780, 36.2668, 40.0336, -2.5998, 1.4028, 
1460493710.8910, 36.1391, 40.1960, -2.6264, 1.3592, 
1460493710.9050, 36.0318, 40.3693, -2.6542, 1.3115, 
1460493710.9180, 35.9596, 40.5287, -2.6791, 1.2667, 
1460493710.9330, 35.9083, 40.7107, -2.7067, 1.2144, 
1460493710.9470, 35.8906, 40.8787, -2.7315, 1.1649, 
1460493710.9600, 35.8991, 41.0331, -2.7536, 1.1185, 
1460493710.9760, 35.9411, 41.2208, -2.7796, 1.0607, 
1460493710.9900, 36.0049, 41.3830, -2.8012, 1.0095, 
1460493711.0040, 36.0925, 41.5430, -2.8218, 0.9579, 
1460493711.0170, 36.1936, 41.6898, -2.8399, 0.9096, 
1460493711.0330, 36.3422, 41.8679, -2.8609, 0.8496, 
1460493711.0470, 36.4923, 42.0213, -2.8781, 0.7966, 
1460493711.0600, 36.6468, 42.1618, -2.8931, 0.7471, 
1460493711.0740, 36.8277, 42.3108, -2.9082, 0.6934, 
1460493711.0870, 37.0076, 42.4471, -2.9212, 0.6432, 
1460493711.1010, 37.2126, 42.5915, -2.9341, 0.5889, 
1460493711.1140, 37.4118, 42.7233, -2.9451, 0.5382, 
1460493711.1290, 37.6503, 42.8728, -2.9565, 0.4795, 
1460493711.1430, 37.8795, 43.0096, -2.9660, 0.4244, 
1460493711.1580, 38.1300, 43.1533, -2.9749, 0.3651, 
1460493711.1710, 38.3499, 43.2753, -2.9815, 0.3136, 
1460493711.1860, 38.6048, 43.4132, -2.9879, 0.2539, 
1460493711.2000, 38.8425, 43.5391, -2.9926, 0.1982, 
1460493711.2140, 39.0783, 43.6621, -2.9962, 0.1423, 
1460493711.2290, 39.3274, 43.7907, -2.9987, 0.0824, 
1460493711.2440, 39.5712, 43.9160, -2.9999, 0.0224, 
1460493711.2580, 39.7927, 44.0298, -2.9998, -0.0336, 
1460493711.2740, 40.0370, 44.1563, -2.9982, -0.0976, 
1460493711.2880, 40.2421, 44.2636, -2.9956, -0.1535, 
1460493711.3040, 40.4650, 44.3825, -2.9911, -0.2174, 
1460493711.3190, 40.6618, 44.4902, -2.9856, -0.2771, 
1460493711.3600, 41.1323, 44.7657, -2.9635, -0.4394, 
1460493711.3760, 41.2865, 44.8655, -2.9523, -0.5023, 
1460493711.3910, 41.4150, 44.9551, -2.9403, -0.5609, 
1460493711.4050, 41.5203, 45.0351, -2.9280, -0.6154, 
1460493711.4200, 41.6172, 45.1171, -2.9135, -0.6734, 
1460493711.4360, 41.7019, 45.2001, -2.8967, -0.7349, 
1460493711.4510, 41.7634, 45.2736, -2.8795, -0.7921, 
1460493711.4650, 41.8050, 45.3386, -2.8624, -0.8451, 
1460493711.4790, 41.8313, 45.3999, -2.8442, -0.8977, 
1460493711.4930, 41.8420, 45.4576, -2.8249, -0.9498, 
1460493711.5070, 41.8371, 45.5115, -2.8045, -1.0015, 
1460493711.5220, 41.8145, 45.5652, -2.7815, -1.0564, 
1460493711.5370, 41.7739, 45.6144, -2.7573, -1.1106, 
1460493711.5520, 41.7154, 45.6593, -2.7319, -1.1642, 
1460493711.5660, 41.6447, 45.6972, -2.7071, -1.2137, 
1460493711.5810, 41.5516, 45.7335, -2.6794, -1.2661, 
1460493711.5940, 41.4567, 45.7612, -2.6546, -1.3109, 
1460493711.6070, 41.3485, 45.7856, -2.6288, -1.3552, 
1460493711.6220, 41.2073, 45.8094, -2.5981, -1.4056, 
1460493711.6360, 41.0599, 45.8274, -2.5685, -1.4519, 
1460493711.6510, 40.8855, 45.8421, -2.5357, -1.5007, 
1460493711.6670, 40.6807, 45.8527, -2.4996, -1.5520, 
1460493711.6830, 40.4568, 45.8578, -2.4623, -1.6022, 
1460493711.6970, 40.2455, 45.8578, -2.4288, -1.6454, 
