TimeColumn1, Column2,
1460076450.8020, 26.6740, 24.8446
1460076450.8650, 25.9366, 26.1562
1460076450.8820, 25.7909, 26.5051
1460076450.8950, 25.6968, 26.7702
1460076450.9120, 25.5976, 27.1148
1460076450.9300, 25.5233, 27.4769
1460076450.9480, 25.4819, 27.8360
1460076450.9660, 25.4745, 28.1920
1460076450.9850, 25.5043, 28.5644
1460076450.9960, 25.5395, 28.7784
1460076451.0130, 25.6196, 29.1065
1460076451.0310, 25.7383, 29.4507
1460076451.0490, 25.8912, 29.7913
1460076451.0670, 26.0773, 30.1284
1460076451.0850, 26.2947, 30.4617
1460076451.1040, 26.5560, 30.8096
1460076451.1230, 26.8470, 31.1532
1460076451.1410, 27.1465, 31.4747
1460076451.1530, 27.3573, 31.6869
1460076451.1710, 27.6872, 32.0018
1460076451.1890, 28.0294, 32.3128
1460076451.2070, 28.3792, 32.6197
1460076451.2240, 28.7116, 32.9059
1460076451.2420, 29.0605, 33.2049
1460076451.2600, 29.4005, 33.4998
1460076451.2770, 29.7078, 33.7746
1460076451.2950, 30.0126, 34.0616
1460076451.3140, 30.3046, 34.3600
1460076451.3310, 30.5339, 34.6233
1460076451.3500, 30.7478, 34.9132
1460076451.3680, 30.9031, 35.1838
1460076451.3820, 30.9883, 35.3915
1460076451.4000, 31.0474, 35.6551
1460076451.4180, 31.0455, 35.9148
1460076451.4290, 31.0122, 36.0717
1460076451.4400, 30.9535, 36.2272
1460076451.4580, 30.8006, 36.4787
1460076451.4760, 30.5743, 36.7266
1460076451.4940, 30.2726, 36.9711
1460076451.5120, 29.8939, 37.2122
1460076451.5300, 29.4375, 37.4501
1460076451.5480, 28.9038, 37.6849
1460076451.5660, 28.2937, 37.9167
1460076451.5840, 27.6091, 38.1457
1460076451.6010, 26.8967, 38.3596
1460076451.6180, 26.1233, 38.5713
1460076451.6370, 25.1911, 38.8053
1460076451.6550, 24.2470, 39.0249
1460076451.6730, 23.2492, 39.2425
1460076451.6910, 22.2037, 39.4584
1460076451.7120, 20.9325, 39.7083
1460076451.7290, 19.8699, 39.9093
1460076451.7470, 18.7193, 40.1210
1460076451.7650, 17.5497, 40.3319
1460076451.7830, 16.3684, 40.5420
1460076451.8010, 15.1826, 40.7518
1460076451.8190, 13.9996, 40.9613
1460076451.8360, 12.8911, 41.1591
1460076451.8540, 11.7330, 41.3688
1460076451.8720, 10.5971, 41.5789
1460076451.8900, 9.4893, 41.7897
1460076451.9080, 8.4148, 42.0013
1460076451.9260, 7.3786, 42.2139
1460076451.9440, 6.3848, 42.4279
1460076451.9620, 5.4371, 42.6432
1460076451.9810, 4.4903, 42.8723
1460076451.9920, 3.9683, 43.0059
1460076452.0110, 3.1136, 43.2382
1460076452.0300, 2.3196, 43.4729
1460076452.0490, 1.5875, 43.7100
1460076452.0680, 0.9177, 43.9496
1460076452.0860, 0.3403, 44.1790
1460076452.1050, -0.2096, 44.4239
1460076452.1240, -0.6994, 44.6716
1460076452.1440, -1.1521, 44.9353
1460076452.1640, -1.5427, 45.2021
1460076452.1830, -1.8588, 45.4583
1460076452.2010, -2.1115, 45.7036
1460076452.2200, -2.3316, 45.9648
1460076452.2400, -2.5149, 46.2424
1460076452.2600, -2.6523, 46.5224
1460076452.2790, -2.7437, 46.7903
1460076452.2980, -2.8003, 47.0598
1460076452.3170, -2.8253, 47.3306
1460076452.3290, -2.8263, 47.5021
1460076452.3480, -2.8066, 47.7740
1460076452.3660, -2.7663, 48.0319
1460076452.3770, -2.7324, 48.1893
1460076452.3960, -2.6590, 48.4608
1460076452.4150, -2.5691, 48.7310
1460076452.4340, -2.4653, 48.9995
1460076452.4530, -2.3497, 49.2656
1460076452.4720, -2.2246, 49.5286
1460076452.4820, -2.1556, 49.6655
1460076452.5000, -2.0270, 49.9090
1460076452.5190, -1.8862, 50.1612
1460076452.5370, -1.7497, 50.3948
1460076452.5560, -1.6034, 50.6350
1460076452.5760, -1.4482, 50.8799
1460076452.5950, -1.3010, 51.1040
1460076452.6140, -1.1546, 51.3190
1460076452.6330, -1.0101, 51.5238
1460076452.6510, -0.8753, 51.7077
